time,pitch_effort,pitch_position,pitch_velocity
1747041066.38627,0,-0.501762629,-65.386451721
1747041066.38958,0,-0.501762629,-65.386451721
1747041066.39314,0,-0.488263071,-66.456161499
1747041066.39642,0,-0.488263071,-64.030838013
1747041066.39976,0,-0.488263071,-64.030838013
1747041066.40289,0,-0.488263071,-64.030838013
1747041066.40608,0,-0.47476083,-65.200744629
1747041066.40956,0,-0.47476083,-62.67496109
1747041066.41286,0,-0.488263071,-61.680892944
1747041066.41583,0,-0.488263071,-64.030838013
1747041066.41916,0,-0.488263071,-64.030838013
1747041066.42239,0,-0.488263071,-64.030838013
1747041066.42559,0,-0.488263071,-64.030838013
1747041066.42875,0,-0.488263071,-64.030838013
1747041066.43208,0,-0.488263071,-64.030838013
1747041066.43518,0,-0.488263071,-64.030838013
1747041066.43834,0,-0.488263071,-64.030838013
1747041066.4413,0,-0.47476083,-65.250556946
1747041066.44449,0,-0.47476083,-62.67496109
1747041066.44757,0,-0.47476083,-62.67496109
1747041066.45067,0,-0.461261272,-63.876251221
1747041066.45374,0,-0.461261272,-61.319351196
1747041066.45674,0,-0.461261272,-61.319351196
1747041066.45968,0,-0.447761714,-62.622196198
1747041066.46274,0,-0.434262156,-61.310787201
1747041066.46579,0,-0.434262156,-58.608127594
1747041066.46902,0,-0.434262156,-58.608127594
1747041066.47213,0,-0.434262156,-58.608127594
1747041066.47527,0,-0.434262156,-58.608127594
1747041066.47822,0,-0.434262156,-58.608127594
1747041066.48143,0,-0.434262156,-28.608127594
1747041066.48457,0,-0.528764427,-20.536891937
1747041066.48783,0,-0.623266697,-29.366733551
1747041066.49145,0,-0.636766255,-46.582744598
1747041066.49476,0,-0.596264899,-51.786560059
1747041066.49778,0,-0.609764457,-43.800636292
1747041066.50085,0,-0.623266697,-45.026237488
1747041066.50417,0,-0.623266697,-47.587757111
1747041066.50743,0,-0.623266697,-47.587757111
1747041066.51046,0,-0.636766255,-46.465999603
1747041066.51413,0,-0.636766255,-48.943367004
1747041066.51781,0,-0.636766255,-48.943367004
1747041066.52087,0,-0.623266697,-49.813163757
1747041066.52421,0,-0.623266697,-47.587757111
1747041066.52731,0,-0.623266697,-47.587757111
1747041066.53038,0,-0.623266697,-47.587757111
1747041066.53342,0,-0.623266697,-47.587757111
1747041066.5364,0,-0.609764457,-48.839511871
1747041066.53952,0,-0.609764457,-46.231876373
1747041066.54261,0,-0.609764457,-46.231876373
1747041066.54574,0,-0.609764457,-46.231876373
1747041066.54887,0,-0.609764457,-46.231876373
1747041066.55199,0,-0.609764457,-46.231876373
1747041066.55511,0,-0.623266697,-45.045856476
1747041066.55865,0,-0.623266697,-47.587757111
1747041066.56163,0,-0.636766255,-46.623989105
1747041066.56467,0,-0.650265813,-47.717216492
1747041066.56773,0,-0.663765371,-49.004089355
1747041066.57091,0,-0.677267611,-50.492668152
1747041066.57404,0,-0.690767169,-51.810005188
1747041066.57709,0,-0.704266727,-53.175415039
1747041066.5802,0,-0.717768967,-54.528343201
1747041066.58327,0,-0.731268525,-85.817504883
1747041066.58637,0,-0.650265813,-95.470916748
1747041066.58944,0,-0.555763543,-89.077949524
1747041066.5926,0,-0.528764427,-73.25478363
1747041066.59551,0,-0.569263101,-64.205337524
1747041066.59872,0,-0.623266697,-67.339401245
1747041066.60178,0,-0.623266697,-77.587753296
1747041066.60494,0,-0.582765341,-81.196784973
1747041066.60851,0,-0.569263101,-74.683372498
1747041066.61161,0,-0.569263101,-72.164779663
1747041066.61505,0,-0.555763543,-73.355438232
1747041066.61815,0,-0.542263985,-71.764183044
1747041066.62158,0,-0.555763543,-68.296630859
1747041066.6247,0,-0.555763543,-70.809158325
1747041066.62829,0,-0.542263985,-71.999824524
1747041066.63193,0,-0.542263985,-69.453552246
1747041066.63542,0,-0.555763543,-38.580638885
1747041066.63849,0,-0.690767169,-32.295661926
1747041066.64194,0,-0.744768083,-49.606452942
1747041066.64509,0,-0.717768967,-61.700164795
1747041066.64821,0,-0.717768967,-57.077568054
1747041066.65127,0,-0.744768083,-54.749412537
1747041066.65451,0,-0.771769881,-57.287239075
1747041066.65759,0,-0.758267641,-63.674995422
1747041066.66066,0,-0.758267641,-61.14440155
1747041066.66389,0,-0.771769881,-59.965660095
1747041066.66714,0,-0.771769881,-62.500282288
1747041066.67076,0,-0.758267641,-63.680641174
1747041066.67372,0,-0.758267641,-61.14440155
1747041066.67684,0,-0.758267641,-61.14440155
1747041066.68006,0,-0.758267641,-61.14440155
1747041066.68319,0,-0.758267641,-61.14440155
1747041066.68626,0,-0.744768083,-92.30052948
1747041066.68935,0,-0.663765371,-97.161270142
1747041066.69282,0,-0.582765341,-88.941757202
1747041066.69601,0,-0.569263101,-74.564994812
1747041066.69897,0,-0.582765341,-71.080734253
1747041066.70217,0,-0.596264899,-72.264022827
1747041066.70527,0,-0.542263985,-79.777770996
1747041066.70829,0,-0.528764427,-70.624824524
1747041066.71142,0,-0.528764427,-68.097946167
1747041066.71459,0,-0.515262187,-69.285583496
