time,pitch_effort,pitch_position,pitch_velocity
1747126839.74382,0,-0.636766255,-82.068016052
1747126839.74636,0,-0.636766255,-78.943367004
1747126839.74894,0,-0.623266697,-80.696556091
1747126839.75147,0,-0.623266697,-47.587757111
1747126839.75404,0,-0.677267611,-40.422344208
1747126839.75657,0,-0.785269439,-38.993988037
1747126839.75913,0,-0.785269439,-63.855895996
1747126839.76163,0,-0.744768083,-69.256217957
1747126839.76416,0,-0.704266727,-65.211677551
1747126839.76666,0,-0.744768083,-50.313850403
1747126839.76916,0,-0.758267641,-57.971199036
1747126839.77172,0,-0.758267641,-61.14440155
1747126839.7743,0,-0.744768083,-62.928222656
1747126839.7769,0,-0.744768083,-59.788787842
1747126839.7794,0,-0.744768083,-59.788787842
1747126839.78197,0,-0.744768083,-59.788787842
1747126839.78464,0,-0.744768083,-59.788787842
1747126839.78713,0,-0.744768083,-59.788787842
1747126839.78954,0,-0.744768083,-59.788787842
1747126839.79206,0,-0.731268525,-61.692077637
1747126839.79454,0,-0.731268525,-58.433181763
1747126839.79701,0,-0.731268525,-58.433181763
1747126839.7994,0,-0.717768967,-60.29045105
1747126839.80182,0,-0.717768967,-87.077568054
1747126839.80427,0,-0.677267611,-92.905204773
1747126839.80682,0,-0.596264899,-94.343315125
1747126839.80926,0,-0.542263985,-81.952781677
1747126839.81177,0,-0.515262187,-73.281906128
1747126839.8142,0,-0.528764427,-64.915237427
1747126839.81673,0,-0.528764427,-68.097946167
1747126839.81919,0,-0.528764427,-68.097946167
1747126839.82166,0,-0.501762629,-71.854606628
1747126839.82418,0,-0.47476083,-69.098777771
1747126839.82669,0,-0.447761714,-66.376571655
1747126839.82912,0,-0.447761714,-59.963737488
1747126839.83157,0,-0.447761714,-59.963737488
1747126839.83407,0,-0.447761714,-59.963737488
1747126839.83657,0,-0.447761714,-59.963737488
1747126839.83907,0,-0.447761714,-59.963737488
1747126839.84168,0,-0.447761714,-59.963737488
1747126839.84427,0,-0.447761714,-59.963737488
1747126839.84663,0,-0.447761714,-59.963737488
1747126839.84903,0,-0.447761714,-59.963737488
1747126839.8515,0,-0.447761714,-59.963737488
1747126839.85398,0,-0.447761714,-59.963737488
1747126839.85641,0,-0.461261272,-58.107761383
1747126839.85885,0,-0.47476083,-59.385105133
1747126839.86127,0,-0.47476083,-62.67496109
1747126839.86379,0,-0.47476083,-62.67496109
1747126839.86627,0,-0.47476083,-62.67496109
1747126839.86876,0,-0.47476083,-62.67496109
1747126839.87124,0,-0.47476083,-62.67496109
1747126839.87378,0,-0.47476083,-62.67496109
1747126839.87632,0,-0.47476083,-62.67496109
1747126839.8788,0,-0.47476083,-62.67496109
1747126839.88125,0,-0.461261272,-64.505249023
1747126839.8837,0,-0.447761714,-63.206710815
1747126839.8862,0,-0.434262156,-61.848461151
1747126839.88868,0,-0.434262156,-58.608127594
1747126839.89118,0,-0.434262156,-58.608127594
1747126839.894,0,-0.434262156,-58.608127594
1747126839.89637,0,-0.420759916,-60.176742554
1747126839.89882,0,-0.407260358,-59.109519958
1747126839.90122,0,-0.3937608,-57.799922943
1747126839.90371,0,-0.3937608,-54.541027069
1747126839.90618,0,-0.3937608,-54.541027069
1747126839.90861,0,-0.38025856,-56.399963379
1747126839.91104,0,-0.38025856,-53.185146332
1747126839.91347,0,-0.38025856,-53.185146332
