time,pitch_position,pitch_velocity
1747129165.62218,-0.663765371,-66.654586792
1747129165.62465,-0.663765371,-66.654586792
1747129165.62712,-0.663765371,-66.654586792
1747129165.62959,-0.663765371,-66.654586792
1747129165.63215,-0.663765371,-66.654586792
1747129165.63463,-0.663765371,-66.654586792
1747129165.63708,-0.663765371,-66.654586792
1747129165.63954,-0.663765371,-66.654586792
1747129165.64202,-0.663765371,-66.654586792
1747129165.64448,-0.663765371,-66.654586792
1747129165.64701,-0.663765371,-66.654586792
1747129165.64949,-0.663765371,-66.654586792
1747129165.65201,-0.663765371,-66.654586792
1747129165.65453,-0.663765371,-66.654586792
1747129165.65705,-0.663765371,-66.654586792
1747129165.65953,-0.663765371,-66.654586792
1747129165.66195,-0.663765371,-66.654586792
1747129165.66446,-0.663765371,-66.654586792
1747129165.66687,-0.663765371,-66.654586792
1747129165.66931,-0.663765371,-66.654586792
1747129165.67176,-0.663765371,-66.654586792
1747129165.67416,-0.663765371,-66.654586792
1747129165.67674,-0.663765371,-66.654586792
1747129165.67915,-0.663765371,-66.654586792
1747129165.6816,-0.663765371,-66.654586792
1747129165.68401,-0.663765371,-66.654586792
1747129165.68648,-0.663765371,-66.654586792
1747129165.68901,-0.663765371,-66.654586792
1747129165.69145,-0.663765371,-66.654586792
1747129165.69393,-0.663765371,-66.654586792
1747129165.69643,-0.663765371,-66.654586792
1747129165.69886,-0.663765371,-66.654586792
1747129165.70139,-0.663765371,-66.654586792
1747129165.70398,-0.663765371,-66.654586792
1747129165.70656,-0.663765371,-66.654586792
1747129165.70915,-0.663765371,-66.654586792
1747129165.71177,-0.663765371,-66.654586792
1747129165.71428,-0.663765371,-66.654586792
1747129165.71674,-0.663765371,-66.654586792
1747129165.71917,-0.663765371,-66.654586792
1747129165.72164,-0.663765371,-66.654586792
1747129165.72407,-0.663765371,-66.654586792
1747129165.72654,-0.663765371,-66.654586792
1747129165.72902,-0.663765371,-66.654586792
1747129165.73153,-0.663765371,-66.654586792
1747129165.73397,-0.663765371,-66.654586792
1747129165.7364,-0.663765371,-66.654586792
1747129165.73889,-0.663765371,-66.654586792
1747129165.74141,-0.663765371,-66.654586792
1747129165.74392,-0.663765371,-66.654586792
1747129165.74636,-0.663765371,-66.654586792
1747129165.74882,-0.663765371,-66.654586792
1747129165.75123,-0.663765371,-66.654586792
1747129165.75366,-0.663765371,-66.654586792
1747129165.75611,-0.663765371,-66.654586792
1747129165.75854,-0.663765371,-66.654586792
1747129165.7611,-0.663765371,-66.22492981
1747129165.76362,-0.663765371,-65.795471191
1747129165.76609,-0.663765371,-65.366615295
1747129165.76857,-0.663765371,-64.938667297
1747129165.77106,-0.663765371,-64.512023926
1747129165.77354,-0.663765371,-64.086997986
1747129165.77605,-0.663765371,-63.663990021
1747129165.77854,-0.677267611,-61.41519165
1747129165.78104,-0.677267611,-64.181190491
1747129165.78357,-0.677267611,-63.766216278
1747129165.78609,-0.677267611,-63.354644775
1747129165.78859,-0.677267611,-62.946777344
1747129165.79115,-0.677267611,-62.542995453
1747129165.79367,-0.677267611,-62.143592834
1747129165.79612,-0.677267611,-61.748950958
1747129165.79872,-0.677267611,-61.359352112
1747129165.80123,-0.677267611,-60.975170135
1747129165.80373,-0.690767169,-58.806667328
1747129165.80622,-0.704266727,-59.755897522
1747129165.8087,-0.731268525,-58.875099182
1747129165.81121,-0.717768967,-66.761924744
1747129165.81375,-0.717768967,-63.21333313
