__time,/model_pose/x/position,/model_pose/y/position,/model_pose/z/position
1751976373.66494,-0.011276092,-0.020306039,0.07784083
1751976373.66693,-0.011276092,-0.020306039,0.07784083
1751976373.66894,-0.011276092,-0.020306039,0.07784083
1751976373.67094,-0.011276092,-0.020306039,0.07784083
1751976373.67293,-0.011276092,-0.020306039,0.07784083
1751976373.67497,-0.011236414,-0.020297826,0.077905655
1751976373.67695,-0.011236414,-0.020297826,0.077905655
1751976373.67894,-0.011236414,-0.020297826,0.077905655
1751976373.68095,-0.011236414,-0.020297826,0.077905655
1751976373.68293,-0.011236414,-0.020297826,0.077905655
1751976373.68493,-0.011297466,-0.020306865,0.077826575
1751976373.68696,-0.011297466,-0.020306865,0.077826575
1751976373.68894,-0.011297466,-0.020306865,0.077826575
1751976373.69088,-0.011297466,-0.020306865,0.077826575
1751976373.69293,-0.011297466,-0.020306865,0.077826575
1751976373.69498,-0.011299947,-0.020307733,0.077847515
1751976373.69696,-0.011299947,-0.020307733,0.077847515
1751976373.69896,-0.011299947,-0.020307733,0.077847515
1751976373.70097,-0.011299947,-0.020307733,0.077847515
1751976373.70297,-0.011299947,-0.020307733,0.077847515
1751976373.70499,-0.011327872,-0.020289995,0.077806122
1751976373.70699,-0.011327872,-0.020289995,0.077806122
1751976373.70896,-0.011327872,-0.020289995,0.077806122
1751976373.71096,-0.011327872,-0.020289995,0.077806122
1751976373.71295,-0.011327872,-0.020289995,0.077806122
1751976373.71497,-0.011327872,-0.020289995,0.077806122
1751976373.71695,-0.011291404,-0.020285904,0.077824282
1751976373.71894,-0.011291404,-0.020285904,0.077824282
1751976373.72093,-0.011291404,-0.020285904,0.077824282
1751976373.72294,-0.011291404,-0.020285904,0.077824282
1751976373.72493,-0.011291404,-0.020285904,0.077824282
1751976373.72693,-0.011291404,-0.020285904,0.077824282
1751976373.72895,-0.011352175,-0.020295663,0.077788842
1751976373.73093,-0.011352175,-0.020295663,0.077788842
1751976373.73293,-0.011352175,-0.020295663,0.077788842
1751976373.73495,-0.011352175,-0.020295663,0.077788842
1751976373.73699,-0.011352175,-0.020295663,0.077788842
1751976373.73896,-0.011297592,-0.020283791,0.077861501
1751976373.74099,-0.011297592,-0.020283791,0.077861501
1751976373.74296,-0.011297592,-0.020283791,0.077861501
1751976373.745,-0.011297592,-0.020283791,0.077861501
1751976373.74702,-0.011297592,-0.020283791,0.077861501
1751976373.74897,-0.011286249,-0.020277472,0.077875491
1751976373.75098,-0.011286249,-0.020277472,0.077875491
1751976373.75295,-0.011286249,-0.020277472,0.077875491
1751976373.75495,-0.011286249,-0.020277472,0.077875491
