__time,/psm_joint_telemetry/header/stamp,/psm_joint_telemetry/insertion/effort,/psm_joint_telemetry/insertion/position,/psm_joint_telemetry/insertion/velocity,/psm_joint_telemetry/pitch/effort,/psm_joint_telemetry/pitch/position,/psm_joint_telemetry/pitch/velocity,/psm_joint_telemetry/roll/effort,/psm_joint_telemetry/roll/position,/psm_joint_telemetry/roll/velocity
1748598495.982378,46.483000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.659717560,-130.661544800,0.000000000,-19.965000153,9.114556313
1748598495.984780,46.486000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.646215439,-128.014312744,0.000000000,-19.965000153,9.093658447
1748598495.987211,46.488000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.619215012,-129.362670898,0.000000000,-19.965000153,9.074914932
1748598495.989599,46.491000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.592214584,-128.599273682,0.000000000,-19.965000153,9.058064461
1748598495.991983,46.493000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.578714371,-126.067207336,0.000000000,-19.965000153,9.042860031
1748598495.994401,46.496000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.565214157,-125.647338867,0.000000000,-19.965000153,9.029183388
1748598495.996878,46.498000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.551713943,-125.247741699,0.000000000,-19.965000153,9.016883850
1748598495.999326,46.500000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.538213730,-124.749877930,0.000000000,-19.965000153,9.005823135
1748598496.001741,46.503000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.524713516,-124.395355225,0.000000000,-19.965000153,8.995876312
1748598496.004109,46.505000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.511211395,-123.990371704,0.000000000,-19.965000153,8.986932755
1748598496.006519,46.508000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.497713089,-123.601081848,0.000000000,-19.965000153,8.978892326
1748598496.008902,46.510000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.484210968,-123.200256348,0.000000000,-19.965000153,8.971663475
1748598496.011351,46.513000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.457210541,-124.492599487,0.000000000,-19.965000153,8.965231895
1748598496.013841,46.515000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.430210114,-123.669494629,0.000000000,-19.965000153,8.959460258
1748598496.016345,46.517000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.430210114,-119.343215942,0.000000000,-19.965000153,8.954145432
1748598496.019040,46.520000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.416709900,-121.012794495,0.000000000,-19.965000153,8.949430466
1748598496.021450,46.523000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.403209686,-120.540718079,0.000000000,-19.965000153,8.945195198
1748598496.024012,46.525000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.389709473,-120.208869934,0.000000000,-19.965000153,8.941390991
1748598496.026383,46.528000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.376209259,-119.795707703,0.000000000,-19.965000153,8.937974930
1748598496.028788,46.530000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.376209259,-117.700569153,0.000000000,-19.965000153,8.934838295
1748598496.031149,46.532000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.362709045,-119.466461182,0.000000000,-19.965000153,8.932084084
1748598496.033676,46.535000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.349208832,-119.114006042,0.000000000,-19.965000153,8.929615021
1748598496.036065,46.537000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.335708618,-118.586479187,0.000000000,-19.965000153,8.927399635
1748598496.038441,46.540000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.322208405,-118.261810303,0.000000000,-19.965000153,8.925414085
1748598496.040790,46.542000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.308708191,-117.853919983,0.000000000,-19.965000153,8.923633575
1748598496.043140,46.544000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.308708191,-115.647262573,0.000000000,-19.965000153,8.921966553
1748598496.045600,46.547000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.295207977,-117.473258972,0.000000000,-19.965000153,8.920539856
1748598496.047904,46.549000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.268207550,-118.862136841,0.000000000,-19.965000153,8.919333458
1748598496.050347,46.552000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.254705429,-116.196823120,0.000000000,-19.965000153,8.918191910
1748598496.052735,46.554000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.241207123,-115.755012512,0.000000000,-19.965000153,8.917171478
1748598496.055099,46.556000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.227705002,-115.382827759,0.000000000,-19.965000153,8.916260719
1748598496.057424,46.559000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.200704575,-116.827629089,0.000000000,-19.965000153,8.915520668
1748598496.059800,46.561000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.187204361,-114.201286316,0.000000000,-19.965000153,8.914796829
1748598496.062186,46.563000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.173704147,-113.749099731,0.000000000,-19.965000153,8.914153099
1748598496.064569,46.566000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.160203934,-113.346809387,0.000000000,-19.965000153,8.913580894
1748598496.066967,46.568000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.133203506,-114.697998047,0.000000000,-19.965000153,8.913146973
1748598496.069359,46.571000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.119701385,-112.081062317,0.000000000,-19.965000153,8.912697792
1748598496.071789,46.573000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.106203079,-111.692703247,0.000000000,-19.965000153,8.912301064
1748598496.074228,46.575000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.079202652,-112.988685608,0.000000000,-19.965000153,8.912023544
1748598496.076681,46.578000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.052202225,-112.140907288,0.000000000,-19.965000153,8.911789894
1748598496.079116,46.580000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.025199890,-111.311080933,0.000000000,-19.965000153,8.911593437
1748598496.081626,46.583000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-18.011699677,-108.777503967,0.000000000,-19.965000153,8.911357880
1748598496.084034,46.585000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.998199463,-108.357101440,0.000000000,-19.965000153,8.911154747
1748598496.086432,46.588000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.971199036,-109.768173218,0.000000000,-19.965000153,8.911051750
1748598496.088818,46.590000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.957698822,-107.164642334,0.000000000,-19.965000153,8.910899162
1748598496.091176,46.592000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.944198608,-106.777091980,0.000000000,-19.965000153,8.910771370
1748598496.093619,46.595000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.917198181,-108.153121948,0.000000000,-19.965000153,8.910735130
1748598496.096120,46.597000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.903697968,-105.481582642,0.000000000,-19.965000153,8.910644531
1748598496.098709,46.600000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.876697540,-106.746879578,0.000000000,-19.965000153,8.910644531
1748598496.101054,46.602000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.863195419,-104.162712097,0.000000000,-19.965000153,8.910585403
1748598496.103486,46.605000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.849697113,-103.867210388,0.000000000,-19.965000153,8.910539627
1748598496.105843,46.607000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.822696686,-105.196731567,0.000000000,-19.965000153,8.910578728
1748598496.108160,46.609000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.809194565,-102.684837341,0.000000000,-19.965000153,8.910555840
1748598496.110641,46.612000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.795696259,-102.300399780,0.000000000,-19.965000153,8.910541534
1748598496.113106,46.614000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.768693924,-103.506706238,0.000000000,-19.965000153,8.910610199
1748598496.115459,46.617000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.768693924,-99.220619202,0.000000000,-19.965000153,8.910540581
1748598496.117846,46.619000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.755193710,-101.049468994,0.000000000,-19.965000153,8.910550117
1748598496.120159,46.621000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.714693069,-104.203498840,0.000000000,-19.965000153,8.910713196
1748598496.122491,46.624000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.701190948,-99.426300049,0.000000000,-19.965000153,8.910735130
1748598496.124854,46.626000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.701190948,-97.167259216,0.000000000,-19.965000153,8.910689354
1748598496.127193,46.628000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.687692642,-98.976020813,0.000000000,-19.965000153,8.910721779
1748598496.129633,46.631000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.674190521,-98.594360352,0.000000000,-19.965000153,8.910757065
1748598496.132025,46.633000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.674190521,-96.345932007,0.000000000,-19.965000153,8.910723686
1748598496.134387,46.636000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.660692215,-98.122421265,0.000000000,-19.965000153,8.910765648
1748598496.136757,46.638000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.647190094,-97.740867615,0.000000000,-19.965000153,8.910813332
1748598496.139127,46.640000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.620189667,-99.170898438,0.000000000,-19.965000153,8.910935402
1748598496.141544,46.643000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.579689026,-100.127532959,0.000000000,-19.965000153,8.911132813
1748598496.143929,46.645000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.579689026,-93.471298218,0.000000000,-19.965000153,8.911112785
1748598496.146390,46.648000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.579689026,-93.471298218,0.000000000,-19.965000153,8.911094666
1748598496.148911,46.650000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.539188385,-98.804260254,0.000000000,-19.965000153,8.911299706
1748598496.151323,46.652000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.512187958,-95.588356018,0.000000000,-19.965000153,8.911431313
1748598496.153793,46.655000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.512187958,-91.417991638,0.000000000,-19.965000153,8.911418915
1748598496.156176,46.657000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.498687744,-93.153717041,0.000000000,-19.965000153,8.911479950
1748598496.158588,46.660000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.471687317,-94.535514832,0.000000000,-19.965000153,8.911616325
1748598496.160959,46.662000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.485187531,-88.411987305,0.000000000,-19.965000153,8.911533356
1748598496.163386,46.665000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.471687317,-92.407562256,0.000000000,-19.965000153,8.911598206
1748598496.165789,46.667000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.444684982,-93.712646484,0.000000000,-19.965000153,8.911737442
1748598496.168160,46.669000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.417684555,-92.951072693,0.000000000,-19.965000153,8.911877632
1748598496.170551,46.672000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.417684555,-88.543304443,0.000000000,-19.965000153,8.911871910
1748598496.172945,46.674000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.404186249,-90.339965820,0.000000000,-19.965000153,8.911939621
1748598496.175316,46.677000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.377185822,-91.697120667,0.000000000,-19.965000153,8.912079811
1748598496.177690,46.679000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.363683701,-89.121589661,0.000000000,-19.965000153,8.912150383
1748598496.180085,46.681000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.350183487,-88.705009460,0.000000000,-19.965000153,8.912218094
1748598496.182477,46.684000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.336683273,-88.286911011,0.000000000,-19.965000153,8.912289619
1748598496.184890,46.686000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.323183060,-87.862457275,0.000000000,-19.965000153,8.912358284
1748598496.187284,46.688000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.323183060,-85.668670654,0.000000000,-19.965000153,8.912355423
1748598496.189635,46.691000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.309682846,-87.460052490,0.000000000,-19.965000153,8.912426949
1748598496.191999,46.693000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.309682846,-85.258010864,0.000000000,-19.965000153,8.912425041
1748598496.194356,46.696000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.296182632,-87.078315735,0.000000000,-19.965000153,8.912494659
1748598496.196823,46.698000000,0.000000000,-1000.073669434,0.000000000,0.000000000,-17.296182632,-84.847351074,0.000000000,-19.965000153,8.912492752
