__time,/psm_joint_telemetry/header/stamp,/psm_joint_telemetry/insertion/effort,/psm_joint_telemetry/insertion/position,/psm_joint_telemetry/insertion/velocity,/psm_joint_telemetry/pitch/effort,/psm_joint_telemetry/pitch/position,/psm_joint_telemetry/pitch/velocity,/psm_joint_telemetry/roll/effort,/psm_joint_telemetry/roll/position,/psm_joint_telemetry/roll/velocity
1748252108.604248,22.783000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.428066254,0.000000000,-15.068999290,-13.812870979
1748252108.607033,22.785000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.428031921,0.000000000,-15.068999290,-13.812870979
1748252108.609675,22.788000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427997589,0.000000000,-15.068999290,-13.812870979
1748252108.612460,22.791000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427963257,0.000000000,-15.068999290,-13.812870979
1748252108.615114,22.794000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427928925,0.000000000,-15.068999290,-13.812870979
1748252108.618717,22.797000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427894592,0.000000000,-15.068999290,-13.812870979
1748252108.621523,22.800000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427852631,0.000000000,-15.068999290,-13.812870979
1748252108.624113,22.803000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427810669,0.000000000,-15.068999290,-13.812870979
1748252108.626762,22.805000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427776337,0.000000000,-15.068999290,-13.812870979
1748252108.629467,22.808000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427742004,0.000000000,-15.068999290,-13.812870979
1748252108.632545,22.811000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427707672,0.000000000,-15.068999290,-13.812870979
1748252108.635784,22.814000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427669525,0.000000000,-15.068999290,-13.812870979
1748252108.638651,22.817000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427627563,0.000000000,-15.068999290,-13.812870979
1748252108.641755,22.820000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427589417,0.000000000,-15.068999290,-13.812870979
1748252108.644355,22.823000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427547455,0.000000000,-15.068999290,-13.812870979
1748252108.647036,22.826000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427513123,0.000000000,-15.068999290,-13.812870979
1748252108.649661,22.828000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427478790,0.000000000,-15.068999290,-13.812870979
1748252108.652290,22.831000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427444458,0.000000000,-15.068999290,-13.812870979
1748252108.655028,22.833000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427410126,0.000000000,-15.068999290,-13.812870979
1748252108.657566,22.836000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427375793,0.000000000,-15.068999290,-13.812870979
1748252108.660801,22.839000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427341461,0.000000000,-15.068999290,-13.812870979
1748252108.663901,22.842000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427303314,0.000000000,-15.068999290,-13.812870979
1748252108.667134,22.845000000,0.000000000,-333.357879639,0.000000000,0.000000000,15.091125488,-53.427265167,0.000000000,-15.068999290,-13.812870979
